,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,0,0,7,10,12,3,0.3765078898281339,9,15,1,3,0.3669063097004325,3,7,1,16,0.4708523072141619,10,11,14,1,0.2962477726169004,3,9,13,16,-0.6165730123727418,1,15,14,6,0.2446809050904345,1,7,9,10,0.2936967339831057,13,14,15,6,0.2826444835404892,1,7,13,15,0.9577704006913386,15,16,9,10,-1.201016272342308,15,10,1,16,0.06497266950023317
1,1,1,1,3,7,12,14,-0.2965235392798038,9,5,10,1,0.3693408973072201,3,7,9,15,0.4982391618007342,12,14,15,7,-0.2600371768949094,1,3,7,9,0.582527112090887,3,8,9,16,-0.5348154056368826,1,7,10,14,0.2401216432220976,1,7,9,13,0.5489362850836039,13,16,10,5,0.2719881896586522,11,7,1,15,0.9821717395545352,15,10,1,16,0.07985055706974498
2,2,2,2,9,5,16,2,-0.4628802248961881,3,4,1,8,0.7346388216814776,7,9,11,14,-0.2368119584707677,2,7,16,3,0.4951222116971121,15,16,2,13,0.4994869922657577,1,3,10,16,0.0539304959063414,9,10,15,12,-0.8007729504927452,1,9,10,15,0.2210325729135536,1,10,14,15,0.1563394331327058,10,16,7,15,0.1968460858139343,15,10,1,16,0.07603583958260973
3,3,3,3,1,2,7,8,0.7828134705586715,5,14,16,7,-0.4164963293704535,10,7,15,16,0.1979780137331169,1,3,9,14,-0.6014022513049686,1,9,10,11,0.3666742152772246,1,13,14,16,-0.7103537424271873,10,13,7,1,0.8045349836001113,13,14,15,12,-0.329373187812604,1,10,13,14,0.1772722990524785,1,7,15,10,0.8823541308633601,15,10,1,16,0.07711038197705133
4,4,4,4,7,15,13,6,0.8085941408061981,5,6,3,7,0.8858721002050655,4,7,8,13,0.7181024374553404,11,15,16,7,0.5935006639935598,7,10,6,15,0.6840253662623905,1,7,10,13,0.8027857782919667,10,15,3,14,-0.0059488063309385,10,13,16,14,-1.2541399235239965,14,16,7,4,-1.4013115601843529,1,7,14,10,0.2281185039281801,15,10,1,16,0.06031438404912248
5,5,5,5,10,15,14,5,0.3129174114693711,9,15,13,16,-0.5656273369373472,10,13,15,9,0.2896227228585994,7,9,14,15,-0.4087332612908565,7,10,11,14,0.3701902813879011,7,9,14,15,-0.4087332612908565,10,15,16,9,-1.186681848054703,16,9,13,10,-1.1020555230166291,1,10,16,15,0.0737835220019083,7,14,16,13,-0.6257165871068358,15,10,1,16,0.0737835220019083
6,6,6,6,7,16,15,3,0.3689952636641229,16,14,9,5,-2.1557579673918807,10,14,1,16,-1.312873670027522,3,10,16,14,-1.3778093488395742,1,7,9,14,-0.4364371147705594,1,7,10,11,0.8864900392266071,14,16,7,3,-0.6671053054038119,16,1,14,15,-0.8029222409652037,1,10,13,15,0.8724440648186854,1,9,10,13,0.232745733752552,15,10,1,16,0.059305737940607894
7,7,7,7,12,13,2,9,-0.2536895354656274,12,6,8,1,0.551897952313094,1,13,15,8,0.9780019145230238,1,7,10,15,0.8751302626176862,9,14,15,16,-2.5253105458211604,1,10,14,7,0.2242954672376635,9,14,15,1,-0.585239644377302,1,9,15,11,0.6212719482161906,1,9,14,16,-2.475239290714516,10,13,16,11,0.2431438044095103,15,10,1,16,0.056114760103860406
8,8,8,8,6,7,10,3,0.6749533266172176,5,11,13,15,0.9890384949133716,1,7,14,15,0.5513054647541551,1,3,9,12,-0.3769312176746271,7,3,9,15,0.4874547964609936,15,7,13,14,0.5632599806670164,3,7,13,15,0.931130289552604,1,7,9,13,0.5447709250948557,13,16,1,15,0.4635854514196398,1,7,10,13,0.8026886017491038,15,10,1,16,0.06925335237323083
9,9,9,9,13,7,11,3,0.9538317511671786,1,7,10,14,0.2262007667602591,1,3,9,14,-0.6282719647436117,1,6,7,11,0.8718805812980824,1,15,4,7,0.7382660617509125,1,13,14,15,0.5090268269297433,1,13,15,3,0.9128906846663076,1,7,9,16,-0.5248505242348063,1,7,13,15,0.9571094681871484,1,10,15,13,0.8720102683611504,15,10,1,16,0.0584664706388891
10,10,10,10,3,5,14,9,-0.3922309709047122,11,15,9,1,0.6323877288559578,3,11,7,1,0.9798751016599596,8,10,13,15,0.9177996626289155,3,14,12,4,-1.1978122683011645,7,14,13,16,-0.628872849168701,3,7,10,1,0.8705431003863819,1,7,14,16,-0.6259468525859424,14,16,13,15,-0.6857384489779448,9,15,1,12,-0.3265775587977626,15,10,1,16,0.07265137117413878
11,11,11,11,3,12,15,10,0.1569074131913997,9,13,14,15,-0.501859103353991,6,8,9,14,-0.5935696899425511,3,14,15,16,-0.9916752975250702,1,9,15,10,0.2031935959074835,1,13,14,16,-0.7333054511858517,1,7,10,14,0.225580773133698,7,13,16,8,0.509534662607019,1,14,15,16,-0.804972382535226,1,10,14,16,-1.3158501541330434,15,10,1,16,0.05792252397509978
12,12,12,12,14,16,10,2,-1.2780300728354792,3,7,6,2,0.9101235770349294,3,10,13,9,0.2433817015120487,1,15,10,13,0.8728216942892844,3,10,13,14,0.1826798199462036,7,10,15,16,0.1824445189762558,1,14,15,16,-0.8011134074956268,14,15,1,6,0.2393460061866529,1,14,15,16,-0.8011134074956268,1,7,10,13,0.802145075044775,15,10,1,16,0.06065137764578843
