,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,4,7,9,12,0.9272335039154294,7,9,13,14,0.8763561830931947,3,22,36,38,-0.4090114695768618,2,17,29,34,-1.0024567063569578,10,11,14,23,0.4346830289617637,7,14,17,25,0.0779375594763917,3,11,14,16,0.7290844600821731,3,9,11,14,0.6629902980257536,7,9,11,19,0.6489241782021873,4,9,10,11,0.8328766744263805,6,19,14,16,0.9549399652261751
1,1,4,5,7,11,0.6960364313882634,21,22,23,30,-0.3115404091417739,18,19,25,36,0.3781295994488666,2,4,9,10,0.8917258827259864,4,7,9,10,0.8988914053545107,4,7,10,11,0.6993292123047837,9,11,12,14,0.9011485335922976,11,14,19,21,0.5420060791504896,3,10,11,12,0.6904156794265128,3,7,11,14,0.3707785485151182,6,19,14,16,0.9502129659679259
2,2,11,16,20,27,0.4668462195033632,4,17,21,23,-0.3363511682735636,2,3,7,10,0.1058615972439281,9,16,18,19,0.9769585635013678,3,10,11,14,0.6915113666078916,7,9,33,34,-0.3534421687634386,3,6,11,21,0.0189612485776099,3,16,19,22,0.8511603184120584,10,11,14,16,0.8742041376027214,3,9,11,17,0.0268198850119496,6,19,14,16,0.9517030713148691
3,3,4,6,15,21,0.7065756160923167,1,10,11,22,0.7982356603023673,2,4,5,11,0.6857583391430097,4,7,9,16,0.8895863177271051,3,9,11,13,0.5809107483441991,4,9,10,11,0.8348662971676697,4,9,10,11,0.8348662971676697,1,3,7,9,0.5092799634612653,3,19,25,26,0.5105153246816698,4,14,16,19,0.927384977043059,6,19,14,16,0.9517176751827022
4,4,4,9,14,30,0.908494414086336,5,16,23,32,0.5311504682064667,9,13,16,19,0.944256378073654,3,4,5,9,0.8325600478884534,5,14,19,22,0.9416652306729476,4,14,22,31,0.8021528199219626,9,11,13,16,0.8154094526804678,2,3,9,10,0.4885317981192836,3,11,16,19,0.7056659299449219,3,4,9,10,0.8898950236691499,6,19,14,16,0.9567212581154163
5,5,13,15,42,43,0.5427401756760424,10,15,16,17,0.7117653136719697,3,11,18,19,0.7030810807242731,1,7,11,13,0.6682567533868301,3,6,11,16,0.6433685760181982,9,10,11,16,0.8076562579101199,7,9,10,16,0.8247619197448847,4,9,11,14,0.8792395112260417,7,10,14,21,0.6011615497077799,28,30,31,33,-0.549524719321377,6,19,14,16,0.9527891637991172
6,6,42,44,52,56,0.4276761409100305,13,22,25,26,0.597000296507372,9,11,13,16,0.8150370206226836,22,23,38,46,0.0958040525546451,7,10,26,35,0.4317310579772454,9,14,16,19,0.9613554926913972,10,11,14,20,0.4321845148520528,7,11,14,23,0.1739178923736102,3,4,7,9,0.6397008103304784,3,9,11,14,0.6599581825606456,6,19,14,16,0.9571182494392128
7,7,13,20,25,44,0.2662621276665559,1,4,7,23,0.6547305636636077,4,5,6,10,0.9733172950888684,4,32,44,46,0.9215444519327216,7,10,11,14,0.6889029980485647,14,21,37,38,-0.6235163347067851,7,11,16,21,0.0564277905719623,9,10,11,14,0.8426423913589692,16,21,22,23,0.1785516569366629,3,7,11,14,0.3509257581626421,6,19,14,16,0.9576149239746936
8,8,14,20,29,32,-0.0519186224658938,11,16,21,24,-0.24372690720264,4,6,8,10,0.7898268554523081,3,7,9,11,0.1269188769869386,3,13,14,39,0.8994842341149012,3,14,16,21,0.6384143809825527,3,10,11,19,0.6654865134972612,3,11,19,27,0.674562839672437,7,10,11,16,0.6301589451017893,2,3,4,9,0.6314712114487813,6,19,14,16,0.9535877921981656
9,9,1,9,12,16,0.9328642844674344,8,10,11,13,0.4464386355626066,8,20,25,31,-1.5316204848555337,9,11,13,14,0.8679082792107439,4,16,26,31,0.7744031665072251,7,11,13,14,0.7346112530920125,6,10,23,24,0.2757421323497289,4,9,10,11,0.8321144321267935,9,10,19,21,0.7707731174443785,3,9,21,24,-0.1616644262301196,6,19,14,16,0.957008369273222
