,Unnamed: 0,a-a0,a-a1,a-a2,a-a3,a-r,b-a0,b-a1,b-a2,b-a3,b-r,c-a0,c-a1,c-a2,c-a3,c-r,d-a0,d-a1,d-a2,d-a3,d-r,e-a0,e-a1,e-a2,e-a3,e-r,f-a0,f-a1,f-a2,f-a3,f-r,g-a0,g-a1,g-a2,g-a3,g-r,h-a0,h-a1,h-a2,h-a3,h-r,i-a0,i-a1,i-a2,i-a3,i-r,j-a0,j-a1,j-a2,j-a3,j-r,top-a0,top-a1,top-a2,top-a3,top-r
0,0,5,9,10,1,-0.5852553663418352,7,10,11,4,-0.9284818844012076,3,11,14,13,-0.5827251333370387,3,14,4,10,-0.1287519975465607,3,11,16,14,-0.4849134342002743,6,10,11,13,-1.0917194696013022,7,13,11,10,-1.1003596759324084,5,10,14,16,-0.9569085270785408,3,6,16,7,0.2015865750795616,6,7,12,11,-2.574344505540517,1,4,2,16,0.971598720576341
1,1,9,5,14,1,-0.7992411358678444,10,14,1,11,-1.7610962314194776,6,13,16,5,0.3557258489863532,6,10,16,4,0.3057866858196523,7,11,10,16,-1.043880575406499,3,6,16,10,0.2540794366611832,10,14,16,6,-0.9975587693122632,3,5,7,11,-0.6598054875267421,6,10,14,16,-0.9975587693122632,3,10,13,16,0.6977412036212236,1,4,2,16,0.9723772209206952
2,2,2,7,11,13,-0.0039658611247535,6,9,11,12,-3.0627311323637,2,7,10,14,-0.9572954886420812,3,7,9,4,0.2748813672473341,3,6,10,11,-0.9904311907459312,1,3,6,7,0.2114995695113768,10,7,3,16,0.2444004826541909,11,16,13,1,0.6027950189364112,3,6,11,13,-0.0052185027827802,3,6,7,10,-0.585169290447749,1,4,2,16,0.9722029449950195
3,3,1,2,4,11,0.6485623216493634,2,6,12,3,0.0413871683888368,3,6,10,11,-0.9884191749255278,3,11,6,12,-1.3417604025951082,3,6,7,10,-0.5834332869594743,3,7,11,13,-0.011516591388472,4,7,11,16,0.130335811290549,3,6,7,10,-0.5834332869594743,3,6,7,10,-0.5834332869594743,3,6,10,13,0.164833835648227,1,4,2,16,0.9722178502459965
4,4,5,11,13,15,-1.2631197131374887,10,16,11,13,-0.3039824479283917,3,6,10,11,-1.012772643098546,7,14,6,16,-0.7829990324620861,13,14,5,7,-0.6930840511730241,3,5,10,11,-0.9420698908772128,11,7,6,10,-2.1670723104551355,3,7,10,11,-1.0217525361992643,3,6,10,4,0.2686834851258727,3,6,10,13,0.1469764735961939,1,4,2,16,0.9712550996133502
5,5,9,16,7,3,0.2432200368705224,1,3,10,12,-0.1528570122639632,3,10,11,16,-0.2184038146847757,3,6,7,13,0.1236867061575077,6,10,15,5,-1.893516710247468,3,6,10,11,-0.9931587644536266,3,7,11,13,-0.0154396451202301,6,14,7,10,-2.103558671093294,3,10,11,13,-0.3123040601821603,10,11,14,6,-2.9858380805286275,1,4,2,16,0.9720594206423062
6,6,1,10,13,4,0.6890802771472683,8,10,13,11,-1.1058316769916936,6,7,11,14,-2.512470346239268,3,6,11,14,-1.3090984248273323,3,7,10,16,0.2311916307230855,5,8,10,16,-0.4708358371378955,3,10,11,9,-1.5176943824366669,10,11,13,6,-1.1004891122406124,10,11,13,14,-2.018223584931614,3,6,13,16,0.7425654982835209,1,4,2,16,0.9711488011312789
7,7,14,6,3,16,0.0878051600551554,8,11,16,10,-1.0723342719173372,6,7,11,16,-0.8202344269724549,3,6,7,11,-0.8191209649117657,3,7,11,6,-0.8191209649117657,6,10,11,16,-1.0668449734443288,3,11,12,16,-0.5522064905799069,3,6,10,11,-1.0194481961130597,6,7,13,12,-0.8616726725034676,3,10,14,16,-0.2075400178357795,1,4,2,16,0.9709648039109767
8,8,3,5,16,12,0.1214316803945321,11,13,14,3,-0.5762736129491843,6,7,16,1,0.2721815516860111,11,13,10,3,-0.3179861003177078,6,11,16,14,-1.351966291589075,3,6,11,9,-1.000426673990285,3,6,7,10,-0.5933146729286143,6,10,11,3,-1.000426644816848,6,7,10,11,-2.153253020694635,3,6,7,10,-0.5933146729286143,1,4,2,16,0.971903721681133
9,9,10,13,15,16,-0.2395536359919876,1,3,7,8,0.1915684917894469,3,5,6,10,-0.4660885737533342,7,10,11,5,-2.028399929799066,3,6,7,10,-0.6056012289174915,3,13,10,11,-0.3330270876886139,6,11,13,16,0.0410416487122278,3,7,11,13,-0.0332078520271634,6,10,11,7,-2.170970559282355,3,7,10,11,-1.0248448697245318,1,4,2,16,0.9711519745478816
